what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1310800811371
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1310800811406
started,bundle,org.eclipse.wst.xml.core,1.1.600.v201104251227,"org.eclipse.wst.xml.core",1310800813917
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1310800815132
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1310800819629
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.preferences",1310800819648
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1310800822709
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1310800852295
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.help.aboutAction",1310800852310
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1310800858954
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1310800893503
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1310800894311
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1310802411521
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1310802413487
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1310802415524
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1310802415821
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1310802416442
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1310802416449
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.0.20110607-2117,"org.eclipse.m2e.logback.configuration",1310802417180
stopped,bundle,org.eclipse.m2e.discovery,1.0.0.20110607-2117,"org.eclipse.m2e.discovery",1310802417199
stopped,bundle,org.eclipse.m2e.refactoring,1.0.0.20110607-2117,"org.eclipse.m2e.refactoring",1310802417208
stopped,bundle,org.eclipse.m2e.editor,1.0.0.20110607-2117,"org.eclipse.m2e.editor",1310802417242
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.0.20110607-2117,"org.eclipse.m2e.editor.xml",1310802417271
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1328505068479
started,bundle,org.eclipse.osgi,3.7.0.v20110613,"org.eclipse.osgi",1328505068480
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110502-1955,"org.eclipse.equinox.simpleconfigurator",1328505068481
started,bundle,com.ibm.icu,4.4.2.v20110208,"com.ibm.icu",1328505068481
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1328505068481
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1328505068505
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1328505068505
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110505-0800,"org.eclipse.core.filebuffers",1328505068505
